Name;Sweep (T1);;;
Date;2021-05-04;;;
Time;13:02:55;;;
Instrument;FPC1500 - 102329/003;;;
Firmware Version;V1.50;;;
Country of Origin;Czech Republic;;;
Instrument Mode;Spectrum Analyzer;;;
Meas Mode;Spectrum;;;
Uplink;- - -;;;
Downlink;- - -;;;
Channel;- - -;;;
Center Frequency;1500002500;Hz;;
Frequency Offset;0;Hz;;
Span;2999995000;Hz;;
Ref Level;-20;dBm;;
Ref Offset;0;dB;;
Ref Position;1,00;;;
Range;100;dB;;
RF Attenuation;Auto Low Distortion;;;
RF Attenuator;0;dB;;
Pre-Amplifier;Off;;;
RF Input;50 Ω;;;
RBW;3000000;Hz;;
VBW;3000000;Hz;;
SWT;0,038;s;;
Trigger Mode;Free Run;;;
Trigger Level;- - -;;;
Trigger Delay;- - -;;;
Trace Mode;Clear / Write;;;
Trace Math;Off;;;
Trace Detector;Sample;;;
Primary Transducer;- - -;;;
Secondary Transducer;- - -;;;
Isotropic Antenna;Off;;;
Generator Mode;TG;;;
TG Frequency Offset;0;Hz;;
TG Level;-20;dBm;;
Normalization S21;Off;;;
Limit Line 1;- - -;;;
Result Limit Line 1;- - -;;;
Limit Line 2;- - -;;;
Result Limit Line 2;- - -;;;

Frequency [Hz];Magnitude [dBm];;;
5000;5,60858345031738;;;
2543066,8358714;1,23625993728638;;;
5081133,67174281;-3,13606357574463;;;
7619200,50761421;-7,50838756561279;;;
10157267,3434856;-11,8807106018066;;;
12695334,179357;-16,2530345916748;;;
15233401,0152284;-20,2311420440674;;;
17771467,8510998;-20,2232780456543;;;
20309534,6869712;-20,2154159545898;;;
22847601,5228426;-20,2075519561768;;;
25385668,358714;-20,1996879577637;;;
27923735,1945855;-20,1918258666992;;;
30461802,0304569;-20,1966171264648;;;
32999868,8663283;-20,2590618133545;;;
35537935,7021997;-20,3215065002441;;;
38076002,5380711;-20,3839511871338;;;
40614069,3739425;-20,4463958740234;;;
43152136,2098139;-20,5088405609131;;;
45690203,0456853;-20,5591087341309;;;
48228269,8815567;-20,5764579772949;;;
50766336,7174281;-20,5938091278076;;;
53304403,5532995;-20,6111583709717;;;
